drug	InChiKey	synonyms	drugclass
GSK923295	WHMXDBPHBVLYRC-OFVILXPXSA-N	GSK923295	targeted
SAR405838	IDKAKZRYYDCJDU-HBMMIIHUSA-N	SAR405838;MI-773	targeted
Verdinexor	OPAKEJZFFCECPN-XQRVVYSFSA-N	KPT-335;VERDINEXOR	targeted
AZD3965	PRNXOFBDXNTIFG-FQEVSTJZSA-N	AZD3965	targeted
NVP-CGM097	CLRSLRWKONPSRQ-CPOWQTMSSA-N	NVP-CGM097;CGM097	targeted
PAC-1	YQNRVGJCPCNMKT-LFVJCYFKSA-N	PAC-1	targeted
AT-406	LSXUTRRVVSPWDZ-WOTGAKFBSA-N	AT-406;DEBIO 1143	targeted
VER 155008	ZXGGCBQORXDVTE-UMCMBGNQSA-N	VER 155008	targeted
WEHI-539	JKMWZKPAXZBYEH-BGDIREAQSA-N	WEHI-539	targeted
ONX-0914	WQAVPPWWLLVGFK-VTNASVEKSA-N	ONX-0914;PR-957	targeted
NMS-873	UJGTUKMAJVCBIS-UHFFFAOYSA-N	NMS-873	targeted
PF-3845	NBOJHRYUGLRASX-UHFFFAOYSA-N	PF-3845	targeted
TRAM-34	KBFUQFVFYYBHBT-UHFFFAOYSA-N	TRAM-34	targeted
MST-312	MIQUEZGHEJGPJB-UHFFFAOYSA-N	TELOMERASE INHIBITOR IX;MST-312	targeted
ML323	VUIRVWPJNKZOSS-UHFFFAOYSA-N	ML323	targeted
BCI	XJDKPLZUXCIMIS-HKWRFOASSA-N	BCI;BCI;NSC 150117	targeted
Sabutoclax	RAYNZUHYMMLQQA-ZEQRLZLVSA-N	BI-97C1;ONT-701;SABUTOCLAX	targeted
SH-4-54	VFPYGNNOSJWBHF-UHFFFAOYSA-N	SH-4-54	targeted
A-1210477	XMVAWGSQPHFXKU-UHFFFAOYSA-N	A-1210477	targeted
GSK2830371	IVDUVEGCMXCMSO-FQEVSTJZSA-N	GSK2830371	targeted
A-1331852	QCQQONWEDCOTBV-UHFFFAOYSA-N	A-1331852	targeted
Galiellalactone	SOIISBQQYAGDKM-VFYMIVFZSA-N	GALIELLALACTONE	targeted
A-1155463	SOYCFODXNRVBTI-UHFFFAOYSA-N	A-1155463	targeted
TH588	PNMYJIOQIAEYQL-UHFFFAOYSA-N	TH588	targeted
BRD7116	UHXFWAHRAMUDLJ-UHFFFAOYSA-N	BRD7116	targeted
NVP-SHP099	YGUFCDOEKKVKJK-UHFFFAOYSA-N	SHP099;NVP-SHP099	targeted
Necrostatin 2	WIKGAEMMNQTUGL-SNVBAGLBSA-N	NECROSTATIN 2	targeted
JPH203	XNRZJPQTMQZBCE-SFHVURJKSA-N	KYT-0353;JPH203	targeted
S-63845	ZFBHXVOCZBPADE-UHFFFAOYSA-N	S-63845;S63845	targeted
TAK-530	VWMJHAFYPMOMGF-ZCFIWIBFSA-N	MLN-2480;BIIB-024;TAK-530;TAK-580	targeted
CPI-0610	GCWIQUVXWZWCLE-INIZCTEOSA-N	CPI-0610	targeted
Disulfiram+Cu	AUZONCFQVSMFAP-UHFFFAOYSA-N	DISULFIRAM+CU;DISULFIRAM;ANTABUSE;DISULFIRAM (+CU 2:1)	targeted
Erastin	BKQFRNYHFIQEKN-UHFFFAOYSA-N	ERASTIN	targeted
RSL3	TXJZRSRTYPUYRW-NQIIRXRSSA-N	RSL3	targeted
